,,,,,,,,,,,,,,,,,,,,,,,,,"3003 Bern, 08.01.2024 / SCHOL",,,,,,,,,
,,,,,,,,,laisser en blanc (traité par Brenzikofen) / Zum Bearbeiten Ansicht Administrator wählen,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"SE-
Nr.",,,,,Paket-Nr.,,,,,,"Lief-
Nr.",,,,,,,,,,,,,,
Formulaire de commande de vivres de l'armée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Envoyez votre commande au format Excel à,,,,,,,,,armeeproviant-brenzikofen.lba@vtg.admin.ch,,,,,,,,,,,,,Code:,,,,,,Verbrauch Aprov AdA/Tag,,,,,,
Adresse de livraison :,,,,,,,,,,N° d'achemin. mil :,,,,Date de livraison,,,,,,Délai de livraison,,,,,,,,0.5,0,,,,,
Unité,,,,,,,,,,,,,,,,,,,,,,,,,,,,Angaben komplett,,Tage bis Lieferung,,,LiefertagOK,
Destinataire,,,,,,,,,,Nombre de mil :,,,,,,,,,,,,,,,,,,TRUE,,-33052,,,FALSE,
Rue,,,,,,,,,,,,,,Nous avons besoin de votre commande minimum 3 jours ouvrables AVANT la date de livraison.,,,,,,,,,,,,,,Form Datum,,,,,,
"NPA, lieu",,,,,,,,,,N° d'élém. structurel :,,,,,,,,,,,,,,,,,,08.01.2024,,,,,,
N° de portable,,,,,,,,,,,,,,,,,,,,,,,,,,,,08.01.2024,,,,,,
"Voulez-vous annoncer un retour ?
Avez-vous une question sur l'heure de livraison ?",,,,,,,,,,,,,,"Contactez la centrale de transport du DDPS : 
0800 710 400 ",,,,,,,,,,,,,,,,,,,,
"Article
Groupe de produit",,,,,,,,SAP N°,Quantité de commande,,Unité de commande minimale,,Emballage collectif,,,,,Prix net,,Unité de facturation,,Montant,,Poids en kg,,Max Best Menge,Gewicht,HS_Datenprü-fung,,,,,,
Articles non alimentaires (Livraison sans mise en compte),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Étiquette de conservation congélateur,,,,,,,,2549.0379,,,1,roul,Rouleau de 100 étiquettes,,,,,1.45,,rouleau,, Pas de mise en compte ,,0,,10.000,0.080,TRUE,,,,,,
Étiquette de conservation frigo,,,,,,,,2549.0375,,,1,roul,Rouleau de 100 étiquettes,,,,,1.45,,rouleau,,,,0,,10.000,0.080,TRUE,,,,,,
Étiquette de contrôle d'arrivage,,,,,,,,2575.3813,,,1,roul,Rouleau de 100 étiquettes,,,,,1.60,,rouleau,,,,0,,10.000,0.080,TRUE,,,,,,
Feuille d'aluminium,,,,,,,,2117.3448,,,1,roul,20 rouleaux de 15 m x 45 cm,,,,,2.85,,rouleau,,,,0,,20.000,0.400,TRUE,,,,,,
Feuille polyéthylène,,,,,,,,2556.2836,,,1,roul,6 rouleaux de 300 m x 45 cm,,,,,12.40,,rouleau,,,,0,,24.000,1.630,TRUE,,,,,,
Papier pour pâtisserie,,,,,,,,2556.2782,,,1,box,Box de 100 feuilles GN 1/1,,,,,8.00,,box,,,,0,,10.000,1.100,TRUE,,,,,,
Sachet à lunch (eco),,,,,,,,2584.5460,,,500,pce,carton à 5 x 100 pièces,,,,,0.06,,pièce,,,,0,,5000.000,0.004,TRUE,,,,,,
Sachet à vivres,,,,,,,,2529.1829,,,1,roul,10 rouleaux de 50 pièces,,,,,2.60,,rouleau,,,,0,,40.000,0.630,TRUE,,,,,,
Serviette en papier,,,,,,,,2584.7819,,,1600,pce,16 paquets de 100 pièces,,,,,0.02,,pièce,,,,0,,15000.000,0.004,TRUE,,,,,,
Articles non alimentaires (Livraison contre facturation),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assiette - 23 cm ,,,,,,,,2545.4906,,,100,pce,6 paquets de 100 pièces,,,,,0.10,,pièce,, -   ,,0,,3000.000,0.009,TRUE,,,,,,
Bol à soupe - 3 dl ,,,,,,,,2545.4919,,,100,pce,6 paquets de 100 pièces,,,,,0.08,,pièce,, -   ,,0,,3000.000,0.004,TRUE,,,,,,
Couteau,,,,,,,,2525.7872,,,100,pce,10 paquets de 100 pièces,,,,,0.05,,pièce,, -   ,,0,,2000.000,0.007,TRUE,,,,,,
Cuillère à café,,,,,,,,2550.5478,,,100,pce,10 paquets de 100 pièces,,,,,0.03,,pièce,, -   ,,0,,2000.000,0.002,TRUE,,,,,,
